model,f1_macro,recall_needs_repair,f1_needs_repair,threshold
xgboost_smote_threshold,0.6288677769579619,0.6952491309385863,0.39267015706806285,0.15999999999999998
xgboost_threshold,0.6391954064967149,0.6709154113557358,0.40774647887323945,0.3399999999999999
random_forest_smote_threshold,0.631661510478059,0.6465816917728853,0.38456237077877325,0.15999999999999998
xgboost_smote,0.653761218484842,0.4519119351100811,0.41711229946524064,
random_forest_smote,0.6511399438077695,0.39745075318655854,0.3947065592635213,
