model,f1_macro,f1_needs_repair,recall_needs_repair,accuracy,roc_auc,latency_ms
random_forest_tuned,0.6657959864710662,0.4250127097102186,0.4843568945538818,0.7585858585858586,0.8723538788564866,0.03593542929311512
random_forest,0.6657959864710662,0.4250127097102186,0.4843568945538818,0.7585858585858586,0.8723538788564866,0.03258968855190461
xgboost_tuned,0.6570272167646715,0.43365949119373776,0.641946697566628,0.7342592592592593,0.8773769550816316,0.017424974745270397
xgboost,0.6553633725493566,0.43488555643251775,0.6384704519119351,0.7319023569023569,0.8731313612114696,0.01438858585964468
knn,0.6231511832683047,0.3482587064676617,0.28389339513325607,0.7436026936026936,0.8237601196663021,0.37029784511877084
logistic_regression,0.4772904530438576,0.24741735537190082,0.5550405561993047,0.5367003367003367,0.7242779981005055,0.002779537035381227
